0.6561267937546053,2021-07-14 03:11:41.581304,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 11, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 277, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 84, 'optimizer': 'adam', 'lrAdam': 1.4172595173514687e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 107}
0.6657794601407953,2021-07-14 03:40:41.659697,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 263, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 208, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 1, 'metrics_numOfOutput': 87, 'optimizer': 'adam', 'lrAdam': 3.9124920406574544e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 35}
0.6659465342975377,2021-07-14 03:53:13.018561,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 491, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 418, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 66, 'optimizer': 'adam', 'lrAdam': 4.3210871159418676e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 18}
0.6373466707850635,2021-07-14 04:03:20.787695,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 165, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 30, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 1, 'metrics_numOfOutput': 105, 'optimizer': 'adam', 'lrAdam': 7.014535322701823e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 14}
0.6529922203628886,2021-07-14 04:09:38.132976,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 400, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 147, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 104, 'optimizer': 'adam', 'lrAdam': 9.01331206277497e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 2}
0.7051018146169444,2021-07-14 04:13:23.944620,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 201, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 421, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 1, 'metrics_numOfOutput': 126, 'optimizer': 'adam', 'lrAdam': 0.00026498204420582285, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 1}
0.6319509175047662,2021-07-14 04:16:45.537978,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 630, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 17, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 72, 'optimizer': 'adam', 'lrAdam': 5.029280245535256e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 4}
0.6394316416898871,2021-07-14 04:22:33.631918,{'astseq_numOfLayers': 2, 'astseq_hiddenSize': 638, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 247, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 70, 'optimizer': 'adam', 'lrAdam': 3.240494366943445e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 4}
0.7130148935490226,2021-07-14 04:33:32.359689,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 686, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 385, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 50, 'optimizer': 'adam', 'lrAdam': 0.00028590066189597353, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 1}
0.6577992990413071,2021-07-14 04:38:49.913451,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 422, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 14, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 75, 'optimizer': 'adam', 'lrAdam': 5.626187939980455e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 4}
